timestamp,pair,action,confidence,recommended_shares,notional,estimated_profit,estimated_profit_bps,predicted_tracking_error,liquidity_score,persistence_score,regime,regime_confidence,applied_alert_tracking_error_pct,applied_confidence_threshold,reason,executed,hit,realized_net_profit,realized_net_profit_bps,realized_spread_capture,entry_timestamp,exit_timestamp
2026-05-08 19:05:00+00:00,URTH_ACWI,HOLD,0.2729483151361105,0,0.0,0.0,0.0,0.0003316275332732935,0.027934553258768716,0.5227296446441964,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:05:00+00:00,2026-05-08 19:05:00+00:00
2026-05-08 19:05:00+00:00,SPY_^GSPC,HOLD,0.2966788385464849,0,0.0,0.0,0.0,7.179933218760344e-05,1.0,0.24248575939094588,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:05:00+00:00,2026-05-08 19:05:00+00:00
2026-05-08 19:10:00+00:00,SPY_^GSPC,HOLD,0.2959918788754913,0,0.0,0.0,0.0,6.896035274152045e-05,1.0,0.2433503154277259,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:10:00+00:00,2026-05-08 19:10:00+00:00
2026-05-08 19:10:00+00:00,QQQ_^NDX,HOLD,0.3021265690377678,0,0.0,0.0,0.0,8.240845969271568e-05,1.0,0.2488569415784308,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:10:00+00:00,2026-05-08 19:10:00+00:00
2026-05-08 19:15:00+00:00,URTH_ACWI,HOLD,0.2517312727049999,0,0.0,0.0,0.0,0.0002737685036812106,0.026181867804260253,0.5174624375013699,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:15:00+00:00,2026-05-08 19:15:00+00:00
2026-05-08 19:15:00+00:00,SPY_^GSPC,HOLD,0.3173700179160824,0,0.0,0.0,0.0,6.522113084305337e-05,1.0,0.31876546989465976,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:15:00+00:00,2026-05-08 19:15:00+00:00
2026-05-08 19:15:00+00:00,QQQ_^NDX,HOLD,0.30075502832471435,0,0.0,0.0,0.0,7.967567100599813e-05,1.0,0.24732157107571645,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:15:00+00:00,2026-05-08 19:15:00+00:00
2026-05-08 19:20:00+00:00,URTH_ACWI,HOLD,0.2590927681534032,0,0.0,0.0,0.0,0.0002898889025964003,0.0253858765218099,0.5246198621674705,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:20:00+00:00,2026-05-08 19:20:00+00:00
2026-05-08 19:20:00+00:00,QQQ_^NDX,HOLD,0.30163729099905795,0,0.0,0.0,0.0,8.165914952304073e-05,1.0,0.24805858163792563,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:20:00+00:00,2026-05-08 19:20:00+00:00
2026-05-08 19:20:00+00:00,SPY_^GSPC,HOLD,0.2945518395620938,0,0.0,0.0,0.0,6.807377719414697e-05,1.0,0.23953526832459376,Unknown,0.0,0.05,0.7,Signal below confidence or profit threshold; no capital allocation recommended under conservative risk rules.,False,False,0.0,0.0,0.0,2026-05-08 19:20:00+00:00,2026-05-08 19:20:00+00:00
